# Program:featureCounts v2.0.1; Command:"featureCounts" "-O" "-t" "exon" "-g" "gene_id" "-a" "genes.gtf" "-o" "some/sample_1_gene_counts.txt" "some/sample_1.sort.bam" 
Geneid	Chr	Start	End	Strand	Length	some/sample_1.sort.bam
ATCG00010	ChrC	4	76	-	73	332
ATCG00020	ChrC	383	1444	-	1062	102
ATCG00030	ChrC;ChrC	1717;4312	1751;4347	-;-	71	137
ATCG00040	ChrC	2056	3636	-	1581	222
ATCG00050	ChrC;ChrC	5084;6149	5283;6188	-;-	240	96
ATCG00060	ChrC	6616	6687	-	72	31
ATCG00070	ChrC	7017	7202	+	186	1998
ATCG00080	ChrC	7583	7693	+	111	1
ATCG00090	ChrC	7785	7872	+	88	980
ATCG00100	ChrC;ChrC	8646;9383	8669;9431	+;+	73	251
ATCG00110	ChrC	9590	9661	+	72	3113386
ATCG00120	ChrC	9938	11461	-	1524	228
ATCG00130	ChrC;ChrC	11529;12654	11938;12798	-;-	555	106
ATCG00140	ChrC	13262	13507	-	246	1558317
ATCG00150	ChrC	14021	14770	-	750	16
ATCG00160	ChrC	15013	15723	-	711	371
ATCG00170	ChrC	15938	20068	-	4131	18504
ATCG00180	ChrC;ChrC	20251;22653	21861;23084	-;-	2043	330
ATCG00190	ChrC	23111	26329	-	3219	785
ATCG00200	ChrC	27373	27443	+	71	11
ATCG00210	ChrC	28089	28178	+	90	36
ATCG00220	ChrC	28707	28811	-	105	0
ATCG00230	ChrC	29801	29874	-	74	37
ATCG00240	ChrC	30323	30406	-	84	6
ATCG00250	ChrC	30466	30538	-	73	196
ATCG00260	ChrC	31369	31440	+	72	372
ATCG00270	ChrC	32711	33772	+	1062	58
ATCG00280	ChrC	33720	35141	+	1422	247
ATCG00290	ChrC	35312	35403	+	92	2
ATCG00300	ChrC	35751	35939	+	189	103
ATCG00310	ChrC	36490	36560	+	71	13
ATCG00320	ChrC	36704	36777	-	74	74
ATCG00330	ChrC	36938	37240	-	303	43
ATCG00340	ChrC	37375	39579	-	2205	732
ATCG00350	ChrC	39605	41857	-	2253	40
ATCG00360	ChrC;ChrC	42584;43524	42736;43751	-;-	381	3
ATCG00370	ChrC	44827	44913	+	87	110
ATCG00380	ChrC	45223	45828	-	606	640
ATCG00390	ChrC	46213	46285	-	73	0
ATCG00400	ChrC;ChrC	46894;47441	46929;47490	+;+	86	0
ATCG00410	ChrC	48175	48247	+	73	123
ATCG00420	ChrC	48677	49153	-	477	290
ATCG00430	ChrC	49257	49934	-	678	97
ATCG00440	ChrC	50001	50363	-	363	5599
ATCG00450	ChrC;ChrC	51199;51833	51234;51871	-;-	75	4276
ATCG00460	ChrC	52056	52128	+	73	88
ATCG00470	ChrC	52265	52663	-	399	73
ATCG00480	ChrC	52660	54156	-	1497	101
ATCG00490	ChrC	54958	56397	+	1440	176
ATCG00500	ChrC	57075	58541	+	1467	76
ATCG00510	ChrC	59247	59360	+	114	4
ATCG00520	ChrC	59772	60326	+	555	152
ATCG00530	ChrC	60741	61430	+	690	208
ATCG00540	ChrC	61657	62619	+	963	23415
ATCG00550	ChrC	63538	63660	-	123	423
ATCG00560	ChrC	63804	63920	-	117	3
ATCG00570	ChrC	63942	64061	-	120	55
ATCG00580	ChrC	64071	64322	-	252	142
ATCG00590	ChrC	65712	65807	+	96	35
ATCG00600	ChrC	65998	66111	+	114	719
ATCG00610	ChrC	66229	66302	-	74	0
ATCG00620	ChrC	66490	66563	-	74	124
ATCG00630	ChrC	66929	67063	+	135	234
ATCG00640	ChrC	67488	67688	+	201	2
ATCG00650	ChrC	67917	68222	+	306	0
ATCG00660	ChrC	68512	68865	-	354	4207
ATCG00065	ChrC	69611	69724	-	114	252
ATCG00670	ChrC;ChrC;ChrC	69910;70653;71812	70137;70944;71882	-;-;-	591	1
ATCG00680	ChrC	72371	73897	+	1527	388
ATCG00690	ChrC	74082	74183	+	102	20
ATCG00700	ChrC	74249	74380	-	132	10
ATCG00710	ChrC	74485	74706	+	222	507
ATCG00720	ChrC;ChrC	74841;75651	74846;76292	+;+	648	21
ATCG00730	ChrC;ChrC	76481;77198	76488;77672	+;+	483	30
ATCG00740	ChrC	77901	78890	-	990	228
ATCG00750	ChrC	78960	79376	-	417	59
ATCG00760	ChrC	79489	79602	-	114	170
ATCG00770	ChrC	80068	80472	-	405	99
ATCG00780	ChrC	80696	81064	-	369	21
ATCG00790	ChrC;ChrC	81189;82644	81587;82652	-;-	408	79
ATCG00800	ChrC	82826	83482	-	657	66
ATCG00810	ChrC	83467	83949	-	483	148
ATCG00820	ChrC	84005	84283	-	279	1560181
ATCG00830	ChrC;ChrC	84337;85454	84771;85843	-;-	825	200
ATCG00840	ChrC	85862	86143	-	282	78
ATCG00850	ChrC	86312	86385	-	74	640
ATCG00860	ChrC	86474	93358	+	6885	535
ATCG00870	ChrC	93495	93728	+	234	5
ATCG00880	ChrC	94276	94356	-	81	43
ATCG00890	ChrC;ChrC	94941;96388	95702;96795	-;-	1170	37
ATCG00900	ChrC	97478	97945	-	468	5
ATCG00905	ChrC;ChrC	97999;98562	98024;98793	-;-	258	210
ATCG00910	ChrC	100709	100780	+	72	4920
ATCG00920	ChrC	101012	102502	+	1491	3
ATCG00930	ChrC;ChrC	102801;103567	102838;103601	+;+	73	11
ATCG00940	ChrC;ChrC	103665;104504	103703;104538	+;+	74	231
ATCG00950	ChrC	104691	107500	+	2810	85
ATCG00960	ChrC	107599	107701	+	103	273
ATCG00970	ChrC	107949	108069	+	121	0
ATCG00980	ChrC	108302	108375	+	74	102
ATCG00990	ChrC	109013	109084	-	72	185
ATCG01000	ChrC	109405	110436	+	1032	1
ATCG01010	ChrC	110398	112638	-	2241	34
ATCG01020	ChrC	113449	113607	+	159	96
ATCG01030	ChrC	114270	114349	+	80	1
ATCG01040	ChrC	114461	115447	+	987	66
ATCG01050	ChrC	115665	117185	-	1521	117
ATCG01060	ChrC	117318	117563	-	246	46
ATCG01070	ChrC	117804	118109	-	306	216
ATCG01080	ChrC	118377	118907	-	531	5
ATCG01090	ChrC	119244	119762	-	519	1836
ATCG01100	ChrC;ChrC	119847;121457	120376;122009	-;-	1083	291
ATCG01110	ChrC	122011	123192	-	1182	104
ATCG01120	ChrC	123296	123562	-	267	114
ATCG01130	ChrC	123884	129244	-	5361	141
ATCG01140	ChrC	129565	129636	+	72	5
ATCG01150	ChrC	130274	130347	-	74	66
ATCG01160	ChrC	130580	130700	-	121	47
ATCG01170	ChrC	130948	131050	-	103	578
ATCG01180	ChrC	131149	133958	-	2810	17
ATCG01190	ChrC;ChrC	134111;134947	134146;134984	-;-	74	32
ATCG01200	ChrC;ChrC	135048;135812	135083;135848	-;-	73	13
ATCG01210	ChrC	136147	137637	-	1491	5
ATCG01220	ChrC	137869	137940	-	72	224
ATCG01230	ChrC;ChrC	139856;140625	140087;140650	+;+	258	95
ATCG01240	ChrC	140704	141171	+	468	38
ATCG01250	ChrC;ChrC	141854;142947	142261;143708	+;+	1170	3187437
ATCG01260	ChrC	144293	144373	+	81	7
ATCG01270	ChrC	144921	145154	-	234	163
ATCG01280	ChrC	145291	152175	-	6885	5
ATCG01290	ChrC	152264	152337	+	74	50
ATCG01300	ChrC	152506	152787	+	282	122
ATCG01310	ChrC;ChrC	152806;153878	153195;154312	+;+	825	1
